allele,fish_abbrev,locus_name,locus_abbrev,mutation,mutagen,m bkgrd,p bkgrd,reference
t31417,un-named t31417<sup>t31417</sup>,un-named t31417,unm t31417,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31425,un-named t31425<sup>t31425</sup>,un-named t31425,unm t31425,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31426,un-named t31426<sup>t31426</sup>,un-named t31426,unm t31426,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31427,un-named t31427<sup>t31427</sup>,un-named t31427,unm t31427,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31475,un-named t31475<sup>t31475</sup>,un-named t31475,unm t31475,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31296,un-named t31296<sup>t31296</sup>,un-named t31296,unm t31296,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31367,un-named t31367<sup>t31367</sup>,un-named t31367,unm t31367,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31368,un-named t31368<sup>t31368</sup>,un-named t31368,unm t31368,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31370,un-named t31370<sup>t31370</sup>,un-named t31370,unm t31370,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31371,un-named t31371<sup>t31371</sup>,un-named t31371,unm t31371,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31445,un-named t31445<sup>t31445</sup>,un-named t31445,unm t31445,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31448,un-named t31448<sup>t31448</sup>,un-named t31448,unm t31448,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31449,un-named t31449<sup>t31449</sup>,un-named t31449,unm t31449,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31530,un-named t31530<sup>t31530</sup>,un-named t31530,unm t31530,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31531,un-named t31531<sup>t31531</sup>,un-named t31531,unm t31531,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31532,un-named t31532<sup>t31532</sup>,un-named t31532,unm t31532,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31533,un-named t31533<sup>t31533</sup>,un-named t31533,unm t31533,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31559,un-named t31559<sup>t31559</sup>,un-named t31559,unm t31559,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t30987,un-named t30987<sup>t30987</sup>,un-named t30987,unm t30987,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31065,un-named t31065<sup>t31065</sup>,un-named t31065,unm t31065,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31066,un-named t31066<sup>t31066</sup>,un-named t31066,unm t31066,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31068,un-named t31068<sup>t31068</sup>,un-named t31068,unm t31068,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31110,un-named t31110<sup>t31110</sup>,un-named t31110,unm t31110,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31111,un-named t31111<sup>t31111</sup>,un-named t31111,unm t31111,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31112,un-named t31112<sup>t31112</sup>,un-named t31112,unm t31112,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31113,un-named t31113<sup>t31113</sup>,un-named t31113,unm t31113,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31114,un-named t31114<sup>t31114</sup>,un-named t31114,unm t31114,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31152,un-named t31152<sup>t31152</sup>,un-named t31152,unm t31152,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31153,un-named t31153<sup>t31153</sup>,un-named t31153,unm t31153,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31155,un-named t31155<sup>t31155</sup>,un-named t31155,unm t31155,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t30956,un-named t30956<sup>t30956</sup>,un-named t30956,unm t30956,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t30957,un-named t30957<sup>t30957</sup>,un-named t30957,unm t30957,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t30958,un-named t30958<sup>t30958</sup>,un-named t30958,unm t30958,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t30959,un-named t30959<sup>t30959</sup>,un-named t30959,unm t30959,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t30960,un-named t30960<sup>t30960</sup>,un-named t30960,unm t30960,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31070,un-named t31070<sup>t31070</sup>,un-named t31070,unm t31070,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31071,un-named t31071<sup>t31071</sup>,un-named t31071,unm t31071,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31072,un-named t31072<sup>t31072</sup>,un-named t31072,unm t31072,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31073,un-named t31073<sup>t31073</sup>,un-named t31073,unm t31073,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31074,un-named t31074<sup>t31074</sup>,un-named t31074,unm t31074,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31145,un-named t31145<sup>t31145</sup>,un-named t31145,unm t31145,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31147,un-named t31147<sup>t31147</sup>,un-named t31147,unm t31147,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31149,un-named t31149<sup>t31149</sup>,un-named t31149,unm t31149,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31151,un-named t31151<sup>t31151</sup>,un-named t31151,unm t31151,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t30982,un-named t30982<sup>t30982</sup>,un-named t30982,unm t30982,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t30983,un-named t30983<sup>t30983</sup>,un-named t30983,unm t30983,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t30984,un-named t30984<sup>t30984</sup>,un-named t30984,unm t30984,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t30985,un-named t30985<sup>t30985</sup>,un-named t30985,unm t30985,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t30986,un-named t30986<sup>t30986</sup>,un-named t30986,unm t30986,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31046,un-named t31046<sup>t31046</sup>,un-named t31046,unm t31046,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31047,un-named t31047<sup>t31047</sup>,un-named t31047,unm t31047,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31048,un-named t31048<sup>t31048</sup>,un-named t31048,unm t31048,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31049,un-named t31049<sup>t31049</sup>,un-named t31049,unm t31049,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31050,un-named t31050<sup>t31050</sup>,un-named t31050,unm t31050,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31051,un-named t31051<sup>t31051</sup>,un-named t31051,unm t31051,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31102,un-named t31102<sup>t31102</sup>,un-named t31102,unm t31102,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31103,un-named t31103<sup>t31103</sup>,un-named t31103,unm t31103,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31104,un-named t31104<sup>t31104</sup>,un-named t31104,unm t31104,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31105,un-named t31105<sup>t31105</sup>,un-named t31105,unm t31105,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31106,un-named t31106<sup>t31106</sup>,un-named t31106,unm t31106,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31107,un-named t31107<sup>t31107</sup>,un-named t31107,unm t31107,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31138,un-named t31138<sup>t31138</sup>,un-named t31138,unm t31138,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31139,un-named t31139<sup>t31139</sup>,un-named t31139,unm t31139,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31140,un-named t31140<sup>t31140</sup>,un-named t31140,unm t31140,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31141,un-named t31141<sup>t31141</sup>,un-named t31141,unm t31141,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31200,un-named t31200<sup>t31200</sup>,un-named t31200,unm t31200,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31207,un-named t31207<sup>t31207</sup>,un-named t31207,unm t31207,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31209,un-named t31209<sup>t31209</sup>,un-named t31209,unm t31209,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31210,un-named t31210<sup>t31210</sup>,un-named t31210,unm t31210,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31218,un-named t31218<sup>t31218</sup>,un-named t31218,unm t31218,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31219,un-named t31219<sup>t31219</sup>,un-named t31219,unm t31219,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31220,un-named t31220<sup>t31220</sup>,un-named t31220,unm t31220,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31225,un-named t31225<sup>t31225</sup>,un-named t31225,unm t31225,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31226,un-named t31226<sup>t31226</sup>,un-named t31226,unm t31226,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31227,un-named t31227<sup>t31227</sup>,un-named t31227,unm t31227,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31228,un-named t31228<sup>t31228</sup>,un-named t31228,unm t31228,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31230,un-named t31230<sup>t31230</sup>,un-named t31230,unm t31230,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31232,un-named t31232<sup>t31232</sup>,un-named t31232,unm t31232,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31260,un-named t31260<sup>t31260</sup>,un-named t31260,unm t31260,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31263,un-named t31263<sup>t31263</sup>,un-named t31263,unm t31263,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31267,un-named t31267<sup>t31267</sup>,un-named t31267,unm t31267,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31269,un-named t31269<sup>t31269</sup>,un-named t31269,unm t31269,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31270,un-named t31270<sup>t31270</sup>,un-named t31270,unm t31270,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31276,un-named t31276<sup>t31276</sup>,un-named t31276,unm t31276,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31278,un-named t31278<sup>t31278</sup>,un-named t31278,unm t31278,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31281,un-named t31281<sup>t31281</sup>,un-named t31281,unm t31281,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31282,un-named t31282<sup>t31282</sup>,un-named t31282,unm t31282,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31283,un-named t31283<sup>t31283</sup>,un-named t31283,unm t31283,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31317,un-named t31317<sup>t31317</sup>,un-named t31317,unm t31317,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31319,un-named t31319<sup>t31319</sup>,un-named t31319,unm t31319,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31320,un-named t31320<sup>t31320</sup>,un-named t31320,unm t31320,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31321,un-named t31321<sup>t31321</sup>,un-named t31321,unm t31321,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31322,un-named t31322<sup>t31322</sup>,un-named t31322,unm t31322,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31324,un-named t31324<sup>t31324</sup>,un-named t31324,unm t31324,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31325,un-named t31325<sup>t31325</sup>,un-named t31325,unm t31325,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31362,un-named t31362<sup>t31362</sup>,un-named t31362,unm t31362,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31363,un-named t31363<sup>t31363</sup>,un-named t31363,unm t31363,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31364,un-named t31364<sup>t31364</sup>,un-named t31364,unm t31364,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31365,un-named t31365<sup>t31365</sup>,un-named t31365,unm t31365,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31401,un-named t31401<sup>t31401</sup>,un-named t31401,unm t31401,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31402,un-named t31402<sup>t31402</sup>,un-named t31402,unm t31402,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31404,un-named t31404<sup>t31404</sup>,un-named t31404,unm t31404,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31405,un-named t31405<sup>t31405</sup>,un-named t31405,unm t31405,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31407,un-named t31407<sup>t31407</sup>,un-named t31407,unm t31407,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31408,un-named t31408<sup>t31408</sup>,un-named t31408,unm t31408,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31428,un-named t31428<sup>t31428</sup>,un-named t31428,unm t31428,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31429,un-named t31429<sup>t31429</sup>,un-named t31429,unm t31429,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31430,un-named t31430<sup>t31430</sup>,un-named t31430,unm t31430,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31478,un-named t31478<sup>t31478</sup>,un-named t31478,unm t31478,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31479,un-named t31479<sup>t31479</sup>,un-named t31479,unm t31479,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31480,un-named t31480<sup>t31480</sup>,un-named t31480,unm t31480,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31506,un-named t31506<sup>t31506</sup>,un-named t31506,unm t31506,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31507,un-named t31507<sup>t31507</sup>,un-named t31507,unm t31507,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31508,un-named t31508<sup>t31508</sup>,un-named t31508,unm t31508,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31509,un-named t31509<sup>t31509</sup>,un-named t31509,unm t31509,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31510,un-named t31510<sup>t31510</sup>,un-named t31510,unm t31510,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31191,un-named t31191<sup>t31191</sup>,un-named t31191,unm t31191,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31192,un-named t31192<sup>t31192</sup>,un-named t31192,unm t31192,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31193,un-named t31193<sup>t31193</sup>,un-named t31193,unm t31193,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31194,un-named t31194<sup>t31194</sup>,un-named t31194,unm t31194,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31195,un-named t31195<sup>t31195</sup>,un-named t31195,unm t31195,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31196,un-named t31196<sup>t31196</sup>,un-named t31196,unm t31196,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31197,un-named t31197<sup>t31197</sup>,un-named t31197,unm t31197,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31198,un-named t31198<sup>t31198</sup>,un-named t31198,unm t31198,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31199,un-named t31199<sup>t31199</sup>,un-named t31199,unm t31199,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31290,un-named t31290<sup>t31290</sup>,un-named t31290,unm t31290,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
