allele,fish_abbrev,locus_name,locus_abbrev,mutation,mutagen,m bkgrd,p bkgrd,reference
t31291,un-named t31291<sup>t31291</sup>,un-named t31291,unm t31291,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31292,un-named t31292<sup>t31292</sup>,un-named t31292,unm t31292,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31293,un-named t31293<sup>t31293</sup>,un-named t31293,unm t31293,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31294,un-named t31294<sup>t31294</sup>,un-named t31294,unm t31294,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31339,un-named t31339<sup>t31339</sup>,un-named t31339,unm t31339,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31340,un-named t31340<sup>t31340</sup>,un-named t31340,unm t31340,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31341,un-named t31341<sup>t31341</sup>,un-named t31341,unm t31341,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31342,un-named t31342<sup>t31342</sup>,un-named t31342,unm t31342,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31343,un-named t31343<sup>t31343</sup>,un-named t31343,unm t31343,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31344,un-named t31344<sup>t31344</sup>,un-named t31344,unm t31344,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31345,un-named t31345<sup>t31345</sup>,un-named t31345,unm t31345,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31346,un-named t31346<sup>t31346</sup>,un-named t31346,unm t31346,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31347,un-named t31347<sup>t31347</sup>,un-named t31347,unm t31347,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31348,un-named t31348<sup>t31348</sup>,un-named t31348,unm t31348,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31349,un-named t31349<sup>t31349</sup>,un-named t31349,unm t31349,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31350,un-named t31350<sup>t31350</sup>,un-named t31350,unm t31350,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31351,un-named t31351<sup>t31351</sup>,un-named t31351,unm t31351,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31377,un-named t31377<sup>t31377</sup>,un-named t31377,unm t31377,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31378,un-named t31378<sup>t31378</sup>,un-named t31378,unm t31378,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31379,un-named t31379<sup>t31379</sup>,un-named t31379,unm t31379,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31380,un-named t31380<sup>t31380</sup>,un-named t31380,unm t31380,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31381,un-named t31381<sup>t31381</sup>,un-named t31381,unm t31381,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31382,un-named t31382<sup>t31382</sup>,un-named t31382,unm t31382,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31383,un-named t31383<sup>t31383</sup>,un-named t31383,unm t31383,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31395,un-named t31395<sup>t31395</sup>,un-named t31395,unm t31395,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31396,un-named t31396<sup>t31396</sup>,un-named t31396,unm t31396,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31397,un-named t31397<sup>t31397</sup>,un-named t31397,unm t31397,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31398,un-named t31398<sup>t31398</sup>,un-named t31398,unm t31398,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31399,un-named t31399<sup>t31399</sup>,un-named t31399,unm t31399,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31400,un-named t31400<sup>t31400</sup>,un-named t31400,unm t31400,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31432,un-named t31432<sup>t31432</sup>,un-named t31432,unm t31432,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31433,un-named t31433<sup>t31433</sup>,un-named t31433,unm t31433,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31434,un-named t31434<sup>t31434</sup>,un-named t31434,unm t31434,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31454,un-named t31454<sup>t31454</sup>,un-named t31454,unm t31454,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31455,un-named t31455<sup>t31455</sup>,un-named t31455,unm t31455,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31456,un-named t31456<sup>t31456</sup>,un-named t31456,unm t31456,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31457,un-named t31457<sup>t31457</sup>,un-named t31457,unm t31457,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31458,un-named t31458<sup>t31458</sup>,un-named t31458,unm t31458,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31459,un-named t31459<sup>t31459</sup>,un-named t31459,unm t31459,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31460,un-named t31460<sup>t31460</sup>,un-named t31460,unm t31460,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31461,un-named t31461<sup>t31461</sup>,un-named t31461,unm t31461,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31462,un-named t31462<sup>t31462</sup>,un-named t31462,unm t31462,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31463,un-named t31463<sup>t31463</sup>,un-named t31463,unm t31463,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31464,un-named t31464<sup>t31464</sup>,un-named t31464,unm t31464,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31465,un-named t31465<sup>t31465</sup>,un-named t31465,unm t31465,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31466,un-named t31466<sup>t31466</sup>,un-named t31466,unm t31466,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31467,un-named t31467<sup>t31467</sup>,un-named t31467,unm t31467,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31468,un-named t31468<sup>t31468</sup>,un-named t31468,unm t31468,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31469,un-named t31469<sup>t31469</sup>,un-named t31469,unm t31469,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31470,un-named t31470<sup>t31470</sup>,un-named t31470,unm t31470,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31471,un-named t31471<sup>t31471</sup>,un-named t31471,unm t31471,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31472,un-named t31472<sup>t31472</sup>,un-named t31472,unm t31472,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31473,un-named t31473<sup>t31473</sup>,un-named t31473,unm t31473,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31512,un-named t31512<sup>t31512</sup>,un-named t31512,unm t31512,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31513,un-named t31513<sup>t31513</sup>,un-named t31513,unm t31513,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31514,un-named t31514<sup>t31514</sup>,un-named t31514,unm t31514,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31515,un-named t31515<sup>t31515</sup>,un-named t31515,unm t31515,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31516,un-named t31516<sup>t31516</sup>,un-named t31516,unm t31516,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31517,un-named t31517<sup>t31517</sup>,un-named t31517,unm t31517,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31518,un-named t31518<sup>t31518</sup>,un-named t31518,unm t31518,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31519,un-named t31519<sup>t31519</sup>,un-named t31519,unm t31519,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31520,un-named t31520<sup>t31520</sup>,un-named t31520,unm t31520,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31521,un-named t31521<sup>t31521</sup>,un-named t31521,unm t31521,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31522,un-named t31522<sup>t31522</sup>,un-named t31522,unm t31522,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31523,un-named t31523<sup>t31523</sup>,un-named t31523,unm t31523,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31524,un-named t31524<sup>t31524</sup>,un-named t31524,unm t31524,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31525,un-named t31525<sup>t31525</sup>,un-named t31525,unm t31525,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31526,un-named t31526<sup>t31526</sup>,un-named t31526,unm t31526,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31527,un-named t31527<sup>t31527</sup>,un-named t31527,unm t31527,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31528,un-named t31528<sup>t31528</sup>,un-named t31528,unm t31528,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31529,un-named t31529<sup>t31529</sup>,un-named t31529,unm t31529,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31028,un-named t31028<sup>t31028</sup>,un-named t31028,unm t31028,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31030,un-named t31030<sup>t31030</sup>,un-named t31030,unm t31030,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31031,un-named t31031<sup>t31031</sup>,un-named t31031,unm t31031,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31032,un-named t31032<sup>t31032</sup>,un-named t31032,unm t31032,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31033,un-named t31033<sup>t31033</sup>,un-named t31033,unm t31033,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31035,un-named t31035<sup>t31035</sup>,un-named t31035,unm t31035,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31036,un-named t31036<sup>t31036</sup>,un-named t31036,unm t31036,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31037,un-named t31037<sup>t31037</sup>,un-named t31037,unm t31037,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31038,un-named t31038<sup>t31038</sup>,un-named t31038,unm t31038,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31052,un-named t31052<sup>t31052</sup>,un-named t31052,unm t31052,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31298,un-named t31298<sup>t31298</sup>,un-named t31298,unm t31298,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31299,un-named t31299<sup>t31299</sup>,un-named t31299,unm t31299,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31374,un-named t31374<sup>t31374</sup>,un-named t31374,unm t31374,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31419,un-named t31419<sup>t31419</sup>,un-named t31419,unm t31419,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31420,un-named t31420<sup>t31420</sup>,un-named t31420,unm t31420,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31495,un-named t31495<sup>t31495</sup>,un-named t31495,unm t31495,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31496,un-named t31496<sup>t31496</sup>,un-named t31496,unm t31496,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31497,un-named t31497<sup>t31497</sup>,un-named t31497,unm t31497,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31498,un-named t31498<sup>t31498</sup>,un-named t31498,unm t31498,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31499,un-named t31499<sup>t31499</sup>,un-named t31499,unm t31499,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31500,un-named t31500<sup>t31500</sup>,un-named t31500,unm t31500,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31501,un-named t31501<sup>t31501</sup>,un-named t31501,unm t31501,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31502,un-named t31502<sup>t31502</sup>,un-named t31502,unm t31502,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31560,un-named t31560<sup>t31560</sup>,un-named t31560,unm t31560,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31773,un-named t31773<sup>t31773</sup>,un-named t31773,unm t31773,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t30955,un-named t30955<sup>t30955</sup>,un-named t30955,unm t30955,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31022,un-named t31022<sup>t31022</sup>,un-named t31022,unm t31022,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31023,un-named t31023<sup>t31023</sup>,un-named t31023,unm t31023,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31098,un-named t31098<sup>t31098</sup>,un-named t31098,unm t31098,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31099,un-named t31099<sup>t31099</sup>,un-named t31099,unm t31099,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31143,un-named t31143<sup>t31143</sup>,un-named t31143,unm t31143,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31144,un-named t31144<sup>t31144</sup>,un-named t31144,unm t31144,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31146,un-named t31146<sup>t31146</sup>,un-named t31146,unm t31146,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31148,un-named t31148<sup>t31148</sup>,un-named t31148,unm t31148,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31166,un-named t31166<sup>t31166</sup>,un-named t31166,unm t31166,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31167,un-named t31167<sup>t31167</sup>,un-named t31167,unm t31167,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31168,un-named t31168<sup>t31168</sup>,un-named t31168,unm t31168,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31169,un-named t31169<sup>t31169</sup>,un-named t31169,unm t31169,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31243,un-named t31243<sup>t31243</sup>,un-named t31243,unm t31243,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31245,un-named t31245<sup>t31245</sup>,un-named t31245,unm t31245,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31246,un-named t31246<sup>t31246</sup>,un-named t31246,unm t31246,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31248,un-named t31248<sup>t31248</sup>,un-named t31248,unm t31248,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31252,un-named t31252<sup>t31252</sup>,un-named t31252,unm t31252,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31253,un-named t31253<sup>t31253</sup>,un-named t31253,unm t31253,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31254,un-named t31254<sup>t31254</sup>,un-named t31254,unm t31254,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31255,un-named t31255<sup>t31255</sup>,un-named t31255,unm t31255,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31258,un-named t31258<sup>t31258</sup>,un-named t31258,unm t31258,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31259,un-named t31259<sup>t31259</sup>,un-named t31259,unm t31259,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31261,un-named t31261<sup>t31261</sup>,un-named t31261,unm t31261,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31264,un-named t31264<sup>t31264</sup>,un-named t31264,unm t31264,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31268,un-named t31268<sup>t31268</sup>,un-named t31268,unm t31268,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31273,un-named t31273<sup>t31273</sup>,un-named t31273,unm t31273,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31393,un-named t31393<sup>t31393</sup>,un-named t31393,unm t31393,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31534,un-named t31534<sup>t31534</sup>,un-named t31534,unm t31534,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31535,un-named t31535<sup>t31535</sup>,un-named t31535,unm t31535,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
t31536,un-named t31536<sup>t31536</sup>,un-named t31536,unm t31536,unknown,not specified  [treated with]  ENU,ZDB-FISH-990623-3,ZDB-FISH-990623-3,ZDB-PUB-060606-1
