ftr1,ftr2,file,xpatexgene,stagestart,superterm,orientation,figlegend
y271Et,s1999Tg,y271s1999Day4-1.jpg,Kaede,Day4,brain ,dorsal,"View of larva transgenic for y271Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in brain (broad;strong), spinal cord (broad), heart (weak), muscle (weak) and notochord (weak)."
y271Et,s1999Tg,y271s1999Day4-1.jpg,Kaede,Day4,spinal cord ,dorsal,"View of larva transgenic for y271Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in brain (broad;strong), spinal cord (broad), heart (weak), muscle (weak) and notochord (weak)."
y271Et,s1999Tg,y271s1999Day4-1.jpg,Kaede,Day4,heart ,dorsal,"View of larva transgenic for y271Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in brain (broad;strong), spinal cord (broad), heart (weak), muscle (weak) and notochord (weak)."
y271Et,s1999Tg,y271s1999Day4-1.jpg,Kaede,Day4,muscle ,dorsal,"View of larva transgenic for y271Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in brain (broad;strong), spinal cord (broad), heart (weak), muscle (weak) and notochord (weak)."
y271Et,s1999Tg,y271s1999Day4-1.jpg,Kaede,Day4,notochord ,dorsal,"View of larva transgenic for y271Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in brain (broad;strong), spinal cord (broad), heart (weak), muscle (weak) and notochord (weak)."
y271Et,s1999Tg,y271s1999Day4-2.jpg,Kaede,Day4,brain ,dorsal,"View of larva transgenic for y271Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in brain (broad;strong), spinal cord (broad), heart (weak), muscle (weak) and notochord (weak)."
y271Et,s1999Tg,y271s1999Day4-2.jpg,Kaede,Day4,spinal cord ,dorsal,"View of larva transgenic for y271Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in brain (broad;strong), spinal cord (broad), heart (weak), muscle (weak) and notochord (weak)."
y271Et,s1999Tg,y271s1999Day4-2.jpg,Kaede,Day4,heart ,dorsal,"View of larva transgenic for y271Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in brain (broad;strong), spinal cord (broad), heart (weak), muscle (weak) and notochord (weak)."
y271Et,s1999Tg,y271s1999Day4-2.jpg,Kaede,Day4,muscle ,dorsal,"View of larva transgenic for y271Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in brain (broad;strong), spinal cord (broad), heart (weak), muscle (weak) and notochord (weak)."
y271Et,s1999Tg,y271s1999Day4-2.jpg,Kaede,Day4,notochord ,dorsal,"View of larva transgenic for y271Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in brain (broad;strong), spinal cord (broad), heart (weak), muscle (weak) and notochord (weak)."
y271Et,s1999Tg,y271s1999Day4-3.jpg,Kaede,Day4,brain ,lateral,"View of larva transgenic for y271Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in brain (broad;strong), spinal cord (broad), heart (weak), muscle (weak) and notochord (weak)."
y271Et,s1999Tg,y271s1999Day4-3.jpg,Kaede,Day4,spinal cord ,lateral,"View of larva transgenic for y271Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in brain (broad;strong), spinal cord (broad), heart (weak), muscle (weak) and notochord (weak)."
y271Et,s1999Tg,y271s1999Day4-3.jpg,Kaede,Day4,heart ,lateral,"View of larva transgenic for y271Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in brain (broad;strong), spinal cord (broad), heart (weak), muscle (weak) and notochord (weak)."
y271Et,s1999Tg,y271s1999Day4-3.jpg,Kaede,Day4,muscle ,lateral,"View of larva transgenic for y271Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in brain (broad;strong), spinal cord (broad), heart (weak), muscle (weak) and notochord (weak)."
y271Et,s1999Tg,y271s1999Day4-3.jpg,Kaede,Day4,notochord ,lateral,"View of larva transgenic for y271Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in brain (broad;strong), spinal cord (broad), heart (weak), muscle (weak) and notochord (weak)."
y271Et,s1999Tg,y271s1999Day4-4.jpg,Kaede,Day4,brain ,lateral,"View of larva transgenic for y271Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in brain (broad;strong), spinal cord (broad), heart (weak), muscle (weak) and notochord (weak)."
y271Et,s1999Tg,y271s1999Day4-4.jpg,Kaede,Day4,spinal cord ,lateral,"View of larva transgenic for y271Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in brain (broad;strong), spinal cord (broad), heart (weak), muscle (weak) and notochord (weak)."
y271Et,s1999Tg,y271s1999Day4-4.jpg,Kaede,Day4,heart ,lateral,"View of larva transgenic for y271Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in brain (broad;strong), spinal cord (broad), heart (weak), muscle (weak) and notochord (weak)."
y271Et,s1999Tg,y271s1999Day4-4.jpg,Kaede,Day4,muscle ,lateral,"View of larva transgenic for y271Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in brain (broad;strong), spinal cord (broad), heart (weak), muscle (weak) and notochord (weak)."
y271Et,s1999Tg,y271s1999Day4-4.jpg,Kaede,Day4,notochord ,lateral,"View of larva transgenic for y271Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in brain (broad;strong), spinal cord (broad), heart (weak), muscle (weak) and notochord (weak)."
y376Et,s1999Tg,y376s1999Day4-1.jpg,Kaede,Day4,integument,dorsal,"View of larva transgenic for y376Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in integument, fin, yolk and otic vesicle (sensory patches)."
y376Et,s1999Tg,y376s1999Day4-1.jpg,Kaede,Day4,fin,dorsal,"View of larva transgenic for y376Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in integument, fin, yolk and otic vesicle (sensory patches)."
y376Et,s1999Tg,y376s1999Day4-1.jpg,Kaede,Day4,yolk,dorsal,"View of larva transgenic for y376Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in integument, fin, yolk and otic vesicle (sensory patches)."
y376Et,s1999Tg,y376s1999Day4-1.jpg,Kaede,Day4,otic vesicle ,dorsal,"View of larva transgenic for y376Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in integument, fin, yolk and otic vesicle (sensory patches)."
y376Et,s1999Tg,y376s1999Day4-2.jpg,Kaede,Day4,integument,dorsal,"View of larva transgenic for y376Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in integument, fin, yolk and otic vesicle (sensory patches)."
y376Et,s1999Tg,y376s1999Day4-2.jpg,Kaede,Day4,fin,dorsal,"View of larva transgenic for y376Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in integument, fin, yolk and otic vesicle (sensory patches)."
y376Et,s1999Tg,y376s1999Day4-2.jpg,Kaede,Day4,yolk,dorsal,"View of larva transgenic for y376Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in integument, fin, yolk and otic vesicle (sensory patches)."
y376Et,s1999Tg,y376s1999Day4-2.jpg,Kaede,Day4,otic vesicle ,dorsal,"View of larva transgenic for y376Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in integument, fin, yolk and otic vesicle (sensory patches)."
y376Et,s1999Tg,y376s1999Day4-3.jpg,Kaede,Day4,integument,lateral,"View of larva transgenic for y376Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in integument, fin, yolk and otic vesicle (sensory patches)."
y376Et,s1999Tg,y376s1999Day4-3.jpg,Kaede,Day4,fin,lateral,"View of larva transgenic for y376Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in integument, fin, yolk and otic vesicle (sensory patches)."
y376Et,s1999Tg,y376s1999Day4-3.jpg,Kaede,Day4,yolk,lateral,"View of larva transgenic for y376Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in integument, fin, yolk and otic vesicle (sensory patches)."
y376Et,s1999Tg,y376s1999Day4-3.jpg,Kaede,Day4,otic vesicle ,lateral,"View of larva transgenic for y376Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in integument, fin, yolk and otic vesicle (sensory patches)."
y376Et,s1999Tg,y376s1999Day4-4.jpg,Kaede,Day4,integument,lateral,"View of larva transgenic for y376Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in integument, fin, yolk and otic vesicle (sensory patches)."
y376Et,s1999Tg,y376s1999Day4-4.jpg,Kaede,Day4,fin,lateral,"View of larva transgenic for y376Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in integument, fin, yolk and otic vesicle (sensory patches)."
y376Et,s1999Tg,y376s1999Day4-4.jpg,Kaede,Day4,yolk,lateral,"View of larva transgenic for y376Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in integument, fin, yolk and otic vesicle (sensory patches)."
y376Et,s1999Tg,y376s1999Day4-4.jpg,Kaede,Day4,otic vesicle ,lateral,"View of larva transgenic for y376Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in integument, fin, yolk and otic vesicle (sensory patches)."
y376Et,s1999Tg,y376s1999Day4-5.jpg,Kaede,Day4,integument,lateral,"View of larva transgenic for y376Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in integument, fin, yolk and otic vesicle (sensory patches)."
y376Et,s1999Tg,y376s1999Day4-5.jpg,Kaede,Day4,fin,lateral,"View of larva transgenic for y376Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in integument, fin, yolk and otic vesicle (sensory patches)."
y376Et,s1999Tg,y376s1999Day4-5.jpg,Kaede,Day4,yolk,lateral,"View of larva transgenic for y376Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in integument, fin, yolk and otic vesicle (sensory patches)."
y376Et,s1999Tg,y376s1999Day4-5.jpg,Kaede,Day4,otic vesicle ,lateral,"View of larva transgenic for y376Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in integument, fin, yolk and otic vesicle (sensory patches)."
y418Et,s1999Tg,y418s1999Day4-1.jpg,Kaede,Day4,spinal cord ,dorsal,"View of larva transgenic for y418Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in spinal cord (radial glia)."
y418Et,s1999Tg,y418s1999Day4-2.jpg,Kaede,Day4,spinal cord ,dorsal,"View of larva transgenic for y418Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in spinal cord (radial glia)."
y418Et,s1999Tg,y418s1999Day4-3.jpg,Kaede,Day4,spinal cord ,lateral,"View of larva transgenic for y418Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in spinal cord (radial glia)."
y418Et,s1999Tg,y418s1999Day4-4.jpg,Kaede,Day4,spinal cord ,lateral,"View of larva transgenic for y418Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in spinal cord (radial glia)."
y418Et,s1999Tg,y418s1999Day4-5.jpg,Kaede,Day4,spinal cord ,lateral,"View of larva transgenic for y418Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in spinal cord (radial glia)."
y426Et,s1999Tg,y426s1999Day4-1.jpg,Kaede,Day4,lens,dorsal,"View of larva transgenic for y426Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in lens, medulla oblongata (dorsal), semicircular canal, central canal, branchial arches, retina and spinal cord."
y426Et,s1999Tg,y426s1999Day4-1.jpg,Kaede,Day4,medulla oblongata ,dorsal,"View of larva transgenic for y426Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in lens, medulla oblongata (dorsal), semicircular canal, central canal, branchial arches, retina and spinal cord."
y426Et,s1999Tg,y426s1999Day4-1.jpg,Kaede,Day4,semicircular canal,dorsal,"View of larva transgenic for y426Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in lens, medulla oblongata (dorsal), semicircular canal, central canal, branchial arches, retina and spinal cord."
y426Et,s1999Tg,y426s1999Day4-1.jpg,Kaede,Day4,central canal,dorsal,"View of larva transgenic for y426Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in lens, medulla oblongata (dorsal), semicircular canal, central canal, branchial arches, retina and spinal cord."
y426Et,s1999Tg,y426s1999Day4-1.jpg,Kaede,Day4,branchial arches,dorsal,"View of larva transgenic for y426Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in lens, medulla oblongata (dorsal), semicircular canal, central canal, branchial arches, retina and spinal cord."
y426Et,s1999Tg,y426s1999Day4-1.jpg,Kaede,Day4,retina,dorsal,"View of larva transgenic for y426Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in lens, medulla oblongata (dorsal), semicircular canal, central canal, branchial arches, retina and spinal cord."
y426Et,s1999Tg,y426s1999Day4-1.jpg,Kaede,Day4,spinal cord,dorsal,"View of larva transgenic for y426Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in lens, medulla oblongata (dorsal), semicircular canal, central canal, branchial arches, retina and spinal cord."
y426Et,s1999Tg,y426s1999Day4-2.jpg,Kaede,Day4,lens,dorsal,"View of larva transgenic for y426Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in lens, medulla oblongata (dorsal), semicircular canal, central canal, branchial arches, retina and spinal cord."
y426Et,s1999Tg,y426s1999Day4-2.jpg,Kaede,Day4,medulla oblongata ,dorsal,"View of larva transgenic for y426Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in lens, medulla oblongata (dorsal), semicircular canal, central canal, branchial arches, retina and spinal cord."
y426Et,s1999Tg,y426s1999Day4-2.jpg,Kaede,Day4,semicircular canal,dorsal,"View of larva transgenic for y426Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in lens, medulla oblongata (dorsal), semicircular canal, central canal, branchial arches, retina and spinal cord."
y426Et,s1999Tg,y426s1999Day4-2.jpg,Kaede,Day4,central canal,dorsal,"View of larva transgenic for y426Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in lens, medulla oblongata (dorsal), semicircular canal, central canal, branchial arches, retina and spinal cord."
y426Et,s1999Tg,y426s1999Day4-2.jpg,Kaede,Day4,branchial arches,dorsal,"View of larva transgenic for y426Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in lens, medulla oblongata (dorsal), semicircular canal, central canal, branchial arches, retina and spinal cord."
y426Et,s1999Tg,y426s1999Day4-2.jpg,Kaede,Day4,retina,dorsal,"View of larva transgenic for y426Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in lens, medulla oblongata (dorsal), semicircular canal, central canal, branchial arches, retina and spinal cord."
y426Et,s1999Tg,y426s1999Day4-2.jpg,Kaede,Day4,spinal cord,dorsal,"View of larva transgenic for y426Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in lens, medulla oblongata (dorsal), semicircular canal, central canal, branchial arches, retina and spinal cord."
y426Et,s1999Tg,y426s1999Day4-3.jpg,Kaede,Day4,lens,lateral,"View of larva transgenic for y426Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in lens, medulla oblongata (dorsal), semicircular canal, central canal, branchial arches, retina and spinal cord."
y426Et,s1999Tg,y426s1999Day4-3.jpg,Kaede,Day4,medulla oblongata ,lateral,"View of larva transgenic for y426Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in lens, medulla oblongata (dorsal), semicircular canal, central canal, branchial arches, retina and spinal cord."
y426Et,s1999Tg,y426s1999Day4-3.jpg,Kaede,Day4,semicircular canal,lateral,"View of larva transgenic for y426Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in lens, medulla oblongata (dorsal), semicircular canal, central canal, branchial arches, retina and spinal cord."
y426Et,s1999Tg,y426s1999Day4-3.jpg,Kaede,Day4,central canal,lateral,"View of larva transgenic for y426Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in lens, medulla oblongata (dorsal), semicircular canal, central canal, branchial arches, retina and spinal cord."
y426Et,s1999Tg,y426s1999Day4-3.jpg,Kaede,Day4,branchial arches,lateral,"View of larva transgenic for y426Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in lens, medulla oblongata (dorsal), semicircular canal, central canal, branchial arches, retina and spinal cord."
y426Et,s1999Tg,y426s1999Day4-3.jpg,Kaede,Day4,retina,lateral,"View of larva transgenic for y426Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in lens, medulla oblongata (dorsal), semicircular canal, central canal, branchial arches, retina and spinal cord."
y426Et,s1999Tg,y426s1999Day4-3.jpg,Kaede,Day4,spinal cord,lateral,"View of larva transgenic for y426Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in lens, medulla oblongata (dorsal), semicircular canal, central canal, branchial arches, retina and spinal cord."
y426Et,s1999Tg,y426s1999Day4-4.jpg,Kaede,Day4,lens,lateral,"View of larva transgenic for y426Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in lens, medulla oblongata (dorsal), semicircular canal, central canal, branchial arches, retina and spinal cord."
y426Et,s1999Tg,y426s1999Day4-4.jpg,Kaede,Day4,medulla oblongata ,lateral,"View of larva transgenic for y426Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in lens, medulla oblongata (dorsal), semicircular canal, central canal, branchial arches, retina and spinal cord."
y426Et,s1999Tg,y426s1999Day4-4.jpg,Kaede,Day4,semicircular canal,lateral,"View of larva transgenic for y426Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in lens, medulla oblongata (dorsal), semicircular canal, central canal, branchial arches, retina and spinal cord."
y426Et,s1999Tg,y426s1999Day4-4.jpg,Kaede,Day4,central canal,lateral,"View of larva transgenic for y426Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in lens, medulla oblongata (dorsal), semicircular canal, central canal, branchial arches, retina and spinal cord."
y426Et,s1999Tg,y426s1999Day4-4.jpg,Kaede,Day4,branchial arches,lateral,"View of larva transgenic for y426Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in lens, medulla oblongata (dorsal), semicircular canal, central canal, branchial arches, retina and spinal cord."
y426Et,s1999Tg,y426s1999Day4-4.jpg,Kaede,Day4,retina,lateral,"View of larva transgenic for y426Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in lens, medulla oblongata (dorsal), semicircular canal, central canal, branchial arches, retina and spinal cord."
y426Et,s1999Tg,y426s1999Day4-4.jpg,Kaede,Day4,spinal cord,lateral,"View of larva transgenic for y426Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in lens, medulla oblongata (dorsal), semicircular canal, central canal, branchial arches, retina and spinal cord."
y426Et,s1999Tg,y426s1999Day4-5.jpg,Kaede,Day4,lens,lateral,"View of larva transgenic for y426Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in lens, medulla oblongata (dorsal), semicircular canal, central canal, branchial arches, retina and spinal cord."
y426Et,s1999Tg,y426s1999Day4-5.jpg,Kaede,Day4,medulla oblongata ,lateral,"View of larva transgenic for y426Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in lens, medulla oblongata (dorsal), semicircular canal, central canal, branchial arches, retina and spinal cord."
y426Et,s1999Tg,y426s1999Day4-5.jpg,Kaede,Day4,semicircular canal,lateral,"View of larva transgenic for y426Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in lens, medulla oblongata (dorsal), semicircular canal, central canal, branchial arches, retina and spinal cord."
y426Et,s1999Tg,y426s1999Day4-5.jpg,Kaede,Day4,central canal,lateral,"View of larva transgenic for y426Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in lens, medulla oblongata (dorsal), semicircular canal, central canal, branchial arches, retina and spinal cord."
y426Et,s1999Tg,y426s1999Day4-5.jpg,Kaede,Day4,branchial arches,lateral,"View of larva transgenic for y426Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in lens, medulla oblongata (dorsal), semicircular canal, central canal, branchial arches, retina and spinal cord."
y426Et,s1999Tg,y426s1999Day4-5.jpg,Kaede,Day4,retina,lateral,"View of larva transgenic for y426Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in lens, medulla oblongata (dorsal), semicircular canal, central canal, branchial arches, retina and spinal cord."
y426Et,s1999Tg,y426s1999Day4-5.jpg,Kaede,Day4,spinal cord,lateral,"View of larva transgenic for y426Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in lens, medulla oblongata (dorsal), semicircular canal, central canal, branchial arches, retina and spinal cord."
y427Et,s1999Tg,y427s1999Day4-1.jpg,Kaede,Day4,neuromasts ,dorsal,"View of larva transgenic for y427Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in neuromasts (head), slow muscle (strong) and blood (weak)."
y427Et,s1999Tg,y427s1999Day4-1.jpg,Kaede,Day4,slow muscle ,dorsal,"View of larva transgenic for y427Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in neuromasts (head), slow muscle (strong) and blood (weak)."
y427Et,s1999Tg,y427s1999Day4-1.jpg,Kaede,Day4,blood ,dorsal,"View of larva transgenic for y427Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in neuromasts (head), slow muscle (strong) and blood (weak)."
y427Et,s1999Tg,y427s1999Day4-2.jpg,Kaede,Day4,neuromasts ,dorsal,"View of larva transgenic for y427Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in neuromasts (head), slow muscle (strong) and blood (weak)."
y427Et,s1999Tg,y427s1999Day4-2.jpg,Kaede,Day4,slow muscle ,dorsal,"View of larva transgenic for y427Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in neuromasts (head), slow muscle (strong) and blood (weak)."
y427Et,s1999Tg,y427s1999Day4-2.jpg,Kaede,Day4,blood ,dorsal,"View of larva transgenic for y427Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in neuromasts (head), slow muscle (strong) and blood (weak)."
y427Et,s1999Tg,y427s1999Day4-3.jpg,Kaede,Day4,neuromasts ,lateral,"View of larva transgenic for y427Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in neuromasts (head), slow muscle (strong) and blood (weak)."
y427Et,s1999Tg,y427s1999Day4-3.jpg,Kaede,Day4,slow muscle ,lateral,"View of larva transgenic for y427Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in neuromasts (head), slow muscle (strong) and blood (weak)."
y427Et,s1999Tg,y427s1999Day4-3.jpg,Kaede,Day4,blood ,lateral,"View of larva transgenic for y427Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in neuromasts (head), slow muscle (strong) and blood (weak)."
y427Et,s1999Tg,y427s1999Day4-4.jpg,Kaede,Day4,neuromasts ,lateral,"View of larva transgenic for y427Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in neuromasts (head), slow muscle (strong) and blood (weak)."
y427Et,s1999Tg,y427s1999Day4-4.jpg,Kaede,Day4,slow muscle ,lateral,"View of larva transgenic for y427Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in neuromasts (head), slow muscle (strong) and blood (weak)."
y427Et,s1999Tg,y427s1999Day4-4.jpg,Kaede,Day4,blood ,lateral,"View of larva transgenic for y427Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in neuromasts (head), slow muscle (strong) and blood (weak)."
y427Et,s1999Tg,y427s1999Day4-5.jpg,Kaede,Day4,neuromasts ,lateral,"View of larva transgenic for y427Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in neuromasts (head), slow muscle (strong) and blood (weak)."
y427Et,s1999Tg,y427s1999Day4-5.jpg,Kaede,Day4,slow muscle ,lateral,"View of larva transgenic for y427Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in neuromasts (head), slow muscle (strong) and blood (weak)."
y427Et,s1999Tg,y427s1999Day4-5.jpg,Kaede,Day4,blood ,lateral,"View of larva transgenic for y427Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in neuromasts (head), slow muscle (strong) and blood (weak)."
